anio;unidad;produccion_condensado;produccion_gasolina_estabilizada;produccion_recuperacion_asistida;produccion_primaria;produccion_secundaria;produccion_no_convencional;produccion_petroleo
1999;m3;360,865;187,490;1,236;7,228,919;3,958,268;0;11,736,777
2000;m3;553,228;251,420;1,136;5,960,630;4,076,509;0;10,842,922
2001;m3;389,851;247,735;3,728;6,141,127;3,845,043;0;10,627,484
2002;m3;605,793;233,176;0;6,259,720;3,824,635;0;10,923,324
2003;m3;581,190;263,063;0;6,002,112;3,765,951;0;10,612,316
2004;m3;517,255;307,386;0;5,562,139;3,698,449;0;10,085,229
2005;m3;566,438;272,251;0;5,256,236;3,606,462;0;9,701,388
2006;m3;502,991;273,620;0;5,126,187;3,346,496;0;9,249,294
2007;m3;507,507;260,454;0;4,845,275;3,761,784;0;9,375,020
2008;m3;469,539;287,102;415;5,003,974;3,717,728;0;9,478,757
2009;m3;248,058;302,801;21,104;5,008,030;3,638,920;0;9,218,912
2010;m3;232,978;303,220;17,083;4,776,149;3,592,922;0;8,922,352
2011;m3;221,556;304,928;15,999;4,515,511;3,532,310;0;8,590,303
2012;m3;227,178;289,947;17,984;4,456,660;3,354,909;0;8,346,678
2013;m3;205,853;281,431;23,597;4,410,020;3,007,391;0;7,928,292
2014;m3;197,442;291,138;22,381;4,157,905;3,312,529;0;7,981,395
2015;m3;295,934;286,832;24,174;4,073,477;3,208,158;0;7,888,575
2016;m3;293,838;283,325;30,087;4,129,701;3,094,092;0;7,831,044
2017;m3;295,995;255,267;32,440;3,802,934;2,874,124;0;7,260,760
2018;m3;297,915;265,393;32,498;3,806,805;2,783,821;0;7,186,432
2019;m3;340,006;287,867;35,292;4,089,965;2,712,186;1,222,369;8,687,685
